0_mths_prior,12_mths_prior,15_mths_prior,18_mths_prior,21_mths_prior,3_mths_prior,6_mths_prior,9_mths_prior,Date,past_year_1,past_year_2,qoq_diff,qoq_ratio,yoy_diff,yoy_ratio
,,,,,,,,1991-12-31,,,,,,
,,,,,,,,1992-03-31,,,,,,
,,,,,,,,1992-06-30,,,,,,
,,,,,,,,1992-09-30,,,,,,
,,,,,,,,1992-12-31,,,,,,
,,,,,,,,1993-03-31,,,,,,
,,,,,,,,1993-06-30,,,,,,
,,,,,,,,1993-09-30,,,,,,
,,,,,,,,1993-12-31,,,,,,
,,,,,,,,1994-03-31,,,,,,
,,,,,,,,1994-06-30,,,,,,
,,,,,,,,1994-09-30,,,,,,
1.24,,,,,,,,1994-12-31,1.24,,,,,
1.2460000000000002,,,,,1.24,,,1995-03-31,1.243,,0.006000000000000227,1.0048387096774196,,
1.3373333333333335,,,,,1.2460000000000002,1.24,,1995-06-30,1.2744444444444447,,0.09133333333333327,1.0733012306046013,,
1.3106666666666666,,,,,1.3373333333333335,1.2460000000000002,1.24,1995-09-30,1.2835,,-0.02666666666666684,0.9800598205383847,,
1.2503333333333333,1.24,,,,1.3106666666666666,1.3373333333333335,1.2460000000000002,1995-12-31,1.2860833333333335,1.24,-0.06033333333333335,0.9539674465920651,0.046083333333333476,1.0371639784946238
1.2786666666666668,1.2460000000000002,1.24,,,1.2503333333333333,1.3106666666666666,1.3373333333333335,1996-03-31,1.29425,1.243,0.028333333333333544,1.0226606238336444,0.051249999999999796,1.0412308930008043
1.4206666666666665,1.3373333333333335,1.2460000000000002,1.24,,1.2786666666666668,1.2503333333333333,1.3106666666666666,1996-06-30,1.3150833333333334,1.2744444444444447,0.14199999999999968,1.1110531803962458,0.04063888888888867,1.031887532693984
1.3816666666666666,1.3106666666666666,1.3373333333333335,1.2460000000000002,1.24,1.4206666666666665,1.2786666666666668,1.2503333333333333,1996-09-30,1.3328333333333333,1.2835,-0.038999999999999924,0.9725480994838105,0.04933333333333323,1.038436566679652
1.4033333333333333,1.2503333333333333,1.3106666666666666,1.3373333333333335,1.2460000000000002,1.3816666666666666,1.4206666666666665,1.2786666666666668,1996-12-31,1.3710833333333334,1.2860833333333335,0.021666666666666723,1.0156815440289506,0.08499999999999996,1.066092140219011
1.3996666666666666,1.2786666666666668,1.2503333333333333,1.3106666666666666,1.3373333333333335,1.4033333333333333,1.3816666666666666,1.4206666666666665,1997-03-31,1.4013333333333333,1.29425,-0.003666666666666707,0.9973871733966746,0.10708333333333342,1.08273775030584
