Date,Value
2001-07-31,4.2
2001-08-31,3.8
2001-09-30,10.3
2001-10-31,14.6
2001-11-30,11.2
2001-12-31,11.5
2002-01-31,10.3
2002-02-28,22.0
2002-03-31,30.3
2002-04-30,22.0
2002-05-31,27.3
2002-06-30,19.1
2002-07-31,15.0
2002-08-31,13.0
2002-09-30,26.7
2002-10-31,16.7
2002-11-30,17.0
2002-12-31,18.8
2003-01-31,18.3
2003-02-28,15.3
2003-03-31,10.0
2003-04-30,9.8
2003-05-31,21.5
2003-06-30,15.3
2003-07-31,21.1
2003-08-31,16.3
2003-09-30,20.2
2003-10-31,25.0
2003-11-30,30.5
2003-12-31,42.3
2004-01-31,26.9
2004-02-29,32.8
2004-03-31,34.3
2004-04-30,37.4
2004-05-31,31.7
2004-06-30,30.8
2004-07-31,29.1
2004-08-31,21.0
2004-09-30,31.7
2004-10-31,31.7
2004-11-30,29.2
2004-12-31,26.0
2005-01-31,32.8
2005-02-28,21.7
2005-03-31,32.7
2005-04-30,30.1
2005-05-31,22.8
2005-06-30,14.1
2005-07-31,24.5
2005-08-31,24.0
2005-09-30,25.8
2005-10-31,24.0
2005-11-30,32.7
2005-12-31,32.2
2006-01-31,31.5
2006-02-28,41.1
2006-03-31,37.6
2006-04-30,37.9
2006-05-31,32.5
2006-06-30,20.0
2006-07-31,22.0
2006-08-31,26.2
2006-09-30,36.0
2006-10-31,30.3
2006-11-30,31.1
2006-12-31,39.3
2007-01-31,31.9
2007-02-28,31.2
2007-03-31,32.6
2007-04-30,27.4
2007-05-31,34.4
2007-06-30,18.1
2007-07-31,29.6
2007-08-31,26.9
2007-09-30,22.3
2007-10-31,27.9
2007-11-30,19.0
2007-12-31,23.8
2008-01-31,23.2
2008-02-29,16.8
2008-03-31,18.0
2008-04-30,11.5
2008-05-31,13.0
2008-06-30,22.1
2008-07-31,11.6
2008-08-31,14.6
2008-09-30,16.1
2008-10-31,6.1
2008-11-30,-10.8
2008-12-31,-10.6
2009-01-31,-11.4
2009-02-28,-11.5
2009-03-31,-19.1
2009-04-30,-1.1
2009-05-31,-1.1
2009-06-30,11.5
2009-07-31,2.1
2009-08-31,18.1
2009-09-30,14.3
2009-10-31,18.2
2009-11-30,21.1
2009-12-31,30.3
2010-01-31,33.3
2010-02-28,27.8
2010-03-31,27.2
2010-04-30,31.6
2010-05-31,38.2
2010-06-30,28.4
2010-07-31,14.3
2010-08-31,22.9
2010-09-30,25.4
2010-10-31,25.0
2010-11-30,23.4
2010-12-31,22.7
2011-01-31,34.7
2011-02-28,27.7
2011-03-31,22.1
2011-04-30,29.5
2011-05-31,30.1
2011-06-30,26.5
2011-07-31,22.2
2011-08-31,8.7
2011-09-30,9.8
2011-10-31,7.9
2011-11-30,25.6
2011-12-31,23.3
2012-01-31,25.3
2012-02-29,31.8
2012-03-31,32.1
2012-04-30,31.3
2012-05-31,19.3
2012-06-30,21.6
2012-07-31,19.8
2012-08-31,12.9
2012-09-30,12.8
2012-10-31,6.5
2012-11-30,9.0
2012-12-31,12.9
2013-01-31,4.3
2013-02-28,14.1
2013-03-31,15.1
2013-04-30,20.5
2013-05-31,22.7
2013-06-30,3.2
2013-07-31,9.8
2013-08-31,24.1
2013-09-30,15.1
2013-10-31,15.7
2013-11-30,9.2
2013-12-31,8.4
2014-01-31,12.2
2014-02-28,2.5
2014-03-31,16.5
2014-04-30,23.5
2014-05-31,19.8
2014-06-30,11.8
2014-07-31,9.1
2014-08-31,18.2
2014-09-30,13.0
2014-10-31,21.6
2014-11-30,27.7
2014-12-31,15.6
2015-01-31,14.7
2015-02-28,32.6
2015-03-31,18.6
2015-04-30,24.5
2015-05-31,15.6
2015-06-30,11.5
2015-07-31,21.3
2015-08-31,17.3
2015-09-30,11.3
2015-10-31,12.3
2015-11-30,12.7
2015-12-31,16.2
2016-01-31,15.0
2016-02-29,12.9
2016-03-31,15.8
2016-04-30,22.1
2016-05-31,3.1
2016-06-30,11.2
2016-07-31,11.0
2016-08-31,4.1
2016-09-30,10.7
2016-10-31,13.2
2016-11-30,12.7
2016-12-31,21.7
2017-01-31,25.2
2017-02-28,22.4
2017-03-31,23.9
2017-04-30,27.7
2017-05-31,13.4
2017-06-30,20.8
2017-07-31,15.0
2017-08-31,11.6
2017-09-30,24.4
